title	domain	tags	location
百度	www.baidu.com	综合其他,搜索引擎	北京,海淀
腾讯网	qq.com	综合其他,门户网站	广东,深圳
新浪网	sina.com.cn	综合其他,门户网站	北京,海淀
淘宝网	taobao.com	购物网站,电商网站	浙江,杭州
新浪微博	weibo.com	综合其他,社交网站	北京,海淀
网易	163.com	综合其他,门户网站	广东,广州
搜狐	sohu.com	综合其他,门户网站	北京,海淀
京东商城	jd.com	购物网站,电商网站	北京,海淀
凤凰网	ifeng.com	综合其他,门户网站	北京,朝阳
新华网	xinhuanet.com	综合其他,门户网站,新闻媒体,新闻报刊	北京,东城区
中国网	china.com.cn	综合其他,门户网站,新闻媒体,新闻报刊	北京,海淀
优酷网	youku.com	休闲娱乐,视频电影	北京,海淀
央视网	cntv.cn	休闲娱乐,视频电影,综合其他,门户网站,新闻媒体,广播电视	北京,海淀
土豆网	tudou.com	休闲娱乐,视频电影	上海,徐汇
58同城 	58.com	生活服务,分类信息	北京,朝阳
中关村在线 	zol.com.cn	网络科技,电脑硬件	北京,海淀
搜狗	sogou.com	综合其他,搜索引擎	北京,海淀
4399小游戏	4399.com	休闲娱乐,游戏网站	福建,厦门
豆瓣	douban.com	综合其他,社交网站	北京,朝阳
爱奇艺	iqiyi.com	休闲娱乐,视频电影	北京,海淀
携程旅行网	ctrip.com	交通旅游,票务预订,旅游网站	上海,长宁
汽车之家	autohome.com.cn	生活服务,汽车网站	北京,海淀
起点中文网	qidian.com	休闲娱乐,小说网站	上海,浦东
凤凰资讯	news.ifeng.com	新闻媒体,新闻报刊	北京,朝阳
东方财富网	eastmoney.com	生活服务,金融财经	上海,徐汇
赶集网	ganji.com	生活服务,分类信息	北京,海淀
搜狐视频	tv.sohu.com	休闲娱乐,视频电影	北京,海淀
证券之星	stockstar.com	生活服务,金融财经	上海,浦东
中华网	china.com	综合其他,门户网站	北京,朝阳
多玩游戏网	duowan.com	休闲娱乐,游戏网站	广东,广州
中国日报网	chinadaily.com.cn	新闻媒体,新闻报刊	北京
腾讯新闻	news.qq.com	新闻媒体,新闻报刊	广东,深圳
21CN	21cn.com	综合其他,门户网站	广东,深圳
和讯网	hexun.com	综合其他,门户网站,生活服务,金融财经	北京,朝阳
太平洋电脑网	pconline.com.cn	网络科技,电脑硬件	广东,广州
Hao123	hao123.com	综合其他,网址导航	北京,海淀
电影网	1905.com	休闲娱乐,视频电影	北京,海淀
酷6网	ku6.com	休闲娱乐,视频电影	北京,朝阳
阿里巴巴1688	1688.com	购物网站,电商网站,行业企业,商务服务	浙江,杭州
2345网址导航	2345.com	综合其他,网址导航	上海,浦东
人民网	people.com.cn	综合其他,门户网站,新闻媒体,新闻报刊	北京,朝阳
北青网	ynet.com	新闻媒体,新闻报刊	北京,朝阳
凤凰视频	v.ifeng.com	休闲娱乐,视频电影	北京,朝阳
光明网	gmw.cn	综合其他,门户网站,新闻媒体,新闻报刊	北京,东城区
哔哩哔哩弹幕视频网	bilibili.com	休闲娱乐,视频电影	浙江,杭州
56网	56.com	休闲娱乐,视频电影	北京,朝阳
搜狐新闻	news.sohu.com	新闻媒体,新闻报刊	北京,海淀
大众网	dzwww.com	综合其他,门户网站,地方网站,新闻媒体	山东,济南
豆瓣电影	movie.douban.com	休闲娱乐,视频电影	北京,朝阳
360doc个人图书馆	360doc.com	教育文化,图书展馆	北京,朝阳
腾讯视频	v.qq.com	休闲娱乐,视频电影	广东,深圳
电视猫	tvmao.com	新闻媒体,广播电视	北京,丰台
凤凰财经	finance.ifeng.com	生活服务,金融财经	北京,朝阳
腾讯娱乐	ent.qq.com	休闲娱乐,娱乐时尚	广东,深圳
新浪娱乐	ent.sina.com.cn	休闲娱乐,娱乐时尚	北京,海淀
中国青年网	youth.cn	新闻媒体,新闻报刊	北京,东城区
泡泡网	pcpop.com	网络科技,电脑硬件	北京,海淀
凤凰娱乐	ent.ifeng.com	休闲娱乐,娱乐时尚	北京,朝阳
天极网	yesky.com	网络科技,电脑硬件	重庆,渝北区
新蓝网 	cztv.com	综合其他,门户网站,地方网站,新闻媒体,广播电视	浙江,杭州
西西软件园	cr173.com	网络科技,软件下载	湖南,郴州
搜狐媒体平台	mt.sohu.com	综合其他	北京,海淀
PC6下载站	pc6.com	网络科技,软件下载	湖南,长沙
西陆网	xilu.com	综合其他,门户网站,教育文化,军事国防	北京,东城区
伊秀女性网	yxlady.com	休闲娱乐,娱乐时尚	广东,广州
新浪博客	blog.sina.com.cn	综合其他,博客网站	北京,海淀
观察者网	guancha.cn	新闻媒体,新闻报刊	上海
网易新闻	news.163.com	新闻媒体,新闻报刊	北京,朝阳
中华网新闻频道	news.china.com	新闻媒体,新闻报刊	北京,朝阳
FACE妆点网	zdface.com	休闲娱乐,娱乐时尚	江西,南昌
酷6播客	v.ku6.com	休闲娱乐,视频电影	北京,海淀
深圳之窗	shenchuang.com	综合其他,门户网站,地方网站,生活服务,新闻媒体	广东,深圳
百度文库	wenku.baidu.com	教育文化,百科辞典	北京,海淀
百度知道	zhidao.baidu.com	教育文化,百科辞典	北京,海淀
中关村下载	xiazai.zol.com.cn	网络科技,软件下载	北京,海淀
中关村在线报价查询频道	detail.zol.com.cn	生活服务,常用查询	北京,海淀
